1543305720	0	0	0
1543305797	0	0	0
1543306043	0	0	0
1543306109	0	0	0
1543306185	0	0	0
1543306257	0	0	0
1543306317	0	0	0
1543306377	0	0	0
1543306437	0	0	0
1543306497	0	0	0
1543306557	0	0	0
1543306617	0	0	0
1543306677	0	0	0
1543306737	0	0	0
1543306798	0	0	0
1543306858	0	0	0
1543306918	0	0	0
1543306978	0	0	0
1543307038	0	0	0
1543307171	9	176	11
1543307415	20	367	24
1543307475	26	466	31
1543307535	25	457	31
1543307581	18	339	22
1543308007	177	3171	208
1543308067	21	399	27
1543308127	22	438	28
1543308272	25	480	31
1543308332	24	457	31
1543308393	25	449	29
1543308453	26	470	31
1543308513	25	452	28
1543308573	24	440	30
1543308633	26	464	29
1543308693	25	436	29
1543308753	25	457	30
1543308813	24	443	29
1543308873	25	449	31
1543308933	25	451	31
1543308993	23	423	27
1543309053	26	443	29
1543309113	24	433	28
1543309173	25	478	31
1543309233	24	443	29
1543309294	25	461	30
1543309354	26	461	30
1543309414	22	454	30
